,2,0.765352161
-0.98,-5.84,-7.422719374
-0.96,-5.68,-5.19337437
-0.94,-5.52,-7.094104956
-0.92,-5.36,-7.25560661
-0.9,-5.2,-3.932883352
-0.88,-5.04,-4.333169689
-0.86,-4.88,-5.711201968
-0.84,-4.72,-3.616608413
-0.82,-4.56,-4.09829753
-0.8,-4.4,-4.70319376
-0.78,-4.24,-5.744484264
-0.76,-4.08,-5.242055784
-0.74,-3.92,-4.769296625
-0.72,-3.76,-3.232724431
-0.7,-3.6,-3.305477773
-0.68,-3.44,-5.195835143
-0.66,-3.28,-5.001697178
-0.64,-3.12,-3.743115102
-0.62,-2.96,-1.276533193
-0.6,-2.8,-3.724560059
-0.58,-2.64,-1.368618814
-0.56,-2.48,-1.478529676
-0.54,-2.32,-1.544948443
-0.52,-2.16,-1.41557688
-0.5,-2,-1.094563727
-0.48,-1.84,-2.600067756
-0.46,-1.68,-0.30441446
-0.44,-1.52,-1.675592876
-0.42,-1.36,-1.763418153
-0.4,-1.2,-1.417180166
-0.38,-1.04,0.336486027
-0.36,-0.88,-0.140495831
-0.34,-0.72,0.88199098
-0.32,-0.56,-2.297654923
-0.3,-0.4,-1.83603209
-0.28,-0.24,1.493233312
-0.26,-0.08,0.142136158
-0.24,0.08,-1.801852368
-0.22,0.24,-1.651957161
-0.2,0.4,-1.140441786
-0.18,0.56,0.32529984
-0.16,0.72,0.494383846
-0.14,0.88,0.592147792
-0.12,1.04,0.556608925
-0.1,1.2,2.79651941
-0.08,1.36,1.290313767
-0.06,1.52,-0.387103506
-0.04,1.68,2.088334504
-0.02,1.84,-0.123005969
0,2,2.818532665
0.02,2.16,1.994739516
0.04,2.32,4.27937123
0.06,2.48,1.256701711
0.08,2.64,2.291391031
0.1,2.8,2.909155194
0.12,2.96,4.739758761
0.14,3.12,4.888558776
0.16,3.28,1.39085575
0.18,3.44,1.563032449
0.2,3.6,3.021793291
0.22,3.76,2.087208089
0.24,3.92,5.026958499
0.26,4.08,2.923998981
0.28,4.24,4.960360739
0.3,4.4,4.092133505
0.32,4.56,5.955286066
0.34,4.72,5.714810949
0.36,4.88,5.464591761
0.38,5.04,4.230864838
0.4,5.2,5.408637166
0.42,5.36,5.965650652
0.44,5.52,6.42535227
0.46,5.68,4.375785683
0.48,5.84,6.326956433
0.5,6,5.146716144
0.52,6.16,4.419057776
0.54,6.32,7.234521477
0.56,6.48,6.160176754
0.58,6.64,7.021048077
0.6,6.8,8.018068767
0.62,6.96,8.226871791
0.64,7.12,7.813342496
0.66,7.28,8.205147281
0.68,7.44,8.457879362
0.7,7.6,6.303705438
0.72,7.76,8.705431052
0.74,7.92,8.374963365
0.76,8.08,9.373737287
0.78,8.24,8.104847503
0.8,8.4,7.791904925
0.82,8.56,6.599154863
0.84,8.72,10.35762646
0.86,8.88,8.050349832
0.88,9.04,9.362764537
0.9,9.2,10.09605252
0.92,9.36,9.884904292
0.94,9.52,10.89415856
0.96,9.68,8.411385786
0.98,9.84,9.058796267
1,10,8.369103402
